Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;50 m;7''26;Sperling;Félicie;24/05/2026;Franconville
2;50 m (i);7''55;Sperling;Félicie;30/11/2025;Pantin
3;1 000 m;3'16''11;Wichurski;Victoria;27/05/2026;Vincennes
4;1 000 m (i);3'23''77;Wichurski;Victoria;21/03/2026;Eaubonne
5;2 000 m;8'12''00;Messal;Alice;08/02/2026;Vincennes
6;2 000 m Marche;14'21''06;Brault Delcourt;Agnès;14/05/2026;Joinville-le-Pont
7;2 000 m Marche (i);14'23''10;Brault Delcourt;Agnès;30/11/2025;Pantin
8;50 m Haies (65);8''58;Messal;Alice;24/05/2026;Franconville
9;50 m Haies (65) (i);8''97;Messal;Alice;22/03/2026;Nogent-sur-Oise
10;Hauteur;1m37;Hansconrad;Romy;24/05/2026;Franconville
11;Hauteur (i);1m30;Messal;Alice;18/01/2026;Pantin
12;Perche;2m10;Sperling;Félicie;13/05/2026;Aulnay-sous-Bois
13;Perche (i);1m62;Falletti;Marion;18/12/2024;Aulnay-sous-Bois
14;Longueur;4m35;Sperling;Félicie;06/06/2026;Ivry-sur-Seine
15;Longueur (i);3m87;Carrayol;Anina;30/11/2024;Pantin
16;Triple Saut;9m20;Sperling;Félicie;06/06/2026;Ivry-sur-Seine
17;Triple Saut (i);8m22;Piat;Bérénice;30/11/2025;Pantin
18;Medecine Ball (2 kg);7m70;Abbou Zappulla;Aurore;18/01/2026;Pantin
19;Poids (2 kg);8m42;Boher Przyborowski;Ambre;08/05/2026;Cachan
20;Poids (2 kg) (i);7m70;Boher Przyborowski;Ambre;18/01/2026;Pantin
21;Poids (2 kg) (i);7m70;Wichurski;Victoria;18/01/2026;Pantin
22;Disque (600 g);16m11;Wichurski;Victoria;14/05/2026;Joinville-le-Pont
23;Marteau (2 kg);17m38;Trépon;Mathilde;08/05/2026;Cachan
24;Javelot (400 g);17m53;De Oliveira;Julia;08/05/2025;Sucy-en-Brie
25;Triathlon (Tables 2028);107 Pts;Messal;Alice;06/06/2026;Ivry-sur-Seine
26;Triathlon (Tables 2028) (i);100 Pts;Messal;Alice;18/01/2026;Pantin
27;Tétrathlon Javelot;1 542 Pts;Messal;Alice;14/05/2026;Joinville-le-Pont
28;Tétrathlon (i);1 683 Pts;Messal;Alice;18/01/2026;Pantin
29;4 × 60 m;35''95;Vincennes;Athletic;05/06/2025;Vincennes
30;4 × 60 m Mixte;31''34;Vincennes;Athletic;24/05/2026;Franconville
