Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;50 m;6''78;Werbrouck-Henry;Anthony;13/05/2012;Bry-sur-Marne
2;50 m (i);7''06;Duriaud;Timothée;12/03/2023;Nogent-sur-Oise
3;100 m;12''86;Pothier;Théotime;08/05/2008;Maisons-Alfort
4;1 000 m;3'05''02;Jean-baptiste;Robin;20/10/2019;Noisy-le-Grand
5;1 000 m (i);3'14''21;Poli;Ange;21/03/2026;Eaubonne
6;2 000 m;7'02''00;Poli;Ange;08/02/2026;Vincennes
7;5 km;28'18'';Faure de Milleret;Lancelot;05/02/2012;Vincennes
8;2 000 m Marche;13'06''72;Faure Virenque;Jean;06/04/2025;Cachan
9;2 000 m Marche (i);13'25''90;Faure Virenque;Jean;30/11/2024;Pantin
10;50 m Haies (65);7''47;Werbrouck-Henry;Anthony;24/06/2012;Montereau
11;50 m Haies (65) (i);7''73;Werbrouck-Henry;Anthony;31/03/2012;Eaubonne
12;50 m Haies (76);7''79;Briquet;Graig;14/05/2016;Chevilly-Larue
13;50 m Haies (76) (i);9''09;Gadani;Maxence;04/03/2017;Eaubonne
14;Hauteur;1m59;Briquet;Graig;05/06/2016;Cormeilles-en-Parisis
15;Hauteur (i);1m48;Pothier;Théotime;26/01/2008;Paris
16;Perche;2m90;Astory;Lenny;10/10/2020;Cachan
17;Perche (i);3m02;Astory;Lenny;14/12/2019;Nogent-sur-Oise
18;10 Multibonds;25m10;Bousses;Yoan;18/06/2006;Charenton-le-Pont
19;Longueur;5m95;Briquet;Graig;19/06/2016;Franconville
20;Longueur (i);5m27;Briquet;Graig;05/03/2016;Eaubonne
21;Triple Saut;12m65;Briquet;Graig;24/09/2016;Maisons-Alfort
22;Triple Saut (i);10m25;Imezgaren;Mathias;08/02/2015;Nogent-sur-Oise
23;Medecine Ball (3 kg);8m30;Raymond;Isaac;21/01/2024;Pantin
24;Poids (3 kg);13m31;Briquet;Graig;19/06/2016;Franconville
25;Poids (3 kg) (i);11m81;Brault;Hugo;16/03/2013;Eaubonne
26;Disque (1 kg);27m51;Marty;Benjamin;19/10/2014;Ivry-sur-Seine
27;Marteau (3 kg);20m14;Paques;Simon;25/05/2006;Alfortville
28;Javelot (500 g);33m40;Groc;Lucas;10/10/2010;Puteaux
29;Triathlon (Tables 2017);131 Pts;Briquet;Graig;19/06/2016;Franconville
30;Triathlon (Tables 2017) (i);117 Pts;Briquet;Graig;05/03/2016;Eaubonne
31;Triathlon (Tables 2028);117 Pts;Poli;Ange;14/06/2026;Aulnay-sous-Bois
32;Triathlon (Tables 2028) (i);105 Pts;Fontaine;Marius;18/01/2026;Pantin
33;Tétrathlon Disque;1 908 Pts;Werbrouck-Henry;Anthony;26/05/2012;Villejuif
34;Tétrathlon Javelot;2 025 Pts;Briquet;Graig;05/06/2016;Cormeilles en Parisis
35;Tétrathlon Longueur (i);2 201 Pts;Briquet;Graig;05/03/2016;Eaubonne
36;Tétrathlon Perche (i);1 408 Pts;Astori;Lenny;29/02/2020;Eaubonne
37;4 × 60 m;31''12;Vincennes;Athletic;03/10/2015;Thiais
38;4 × 60 m Mixte;31''34;Vincennes;Athletic;24/05/2026;Franconville
