Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;50 m;6''94;Séveno;Gabin;24/05/2026;Franconville
2;50 m (i);7''33;Fontaine;Marius;22/03/2026;Nogent-sur-Oise
3;1 000 m;3'05''69;Poli;Ange;24/05/2026;Franconville
4;1 000 m (i);3'14''21;Poli;Ange;21/03/2026;Eaubonne
5;2 000 m;7'02''00;Poli;Ange;08/02/2026;Vincennes
6;2 000 m Marche;13'06''72;Faure Virenque;Jean;06/04/2025;Cachan
7;2 000 m Marche (i);13'25''90;Faure Virenque;Jean;30/11/2024;Pantin
8;50 m Haies (65);8''32;Poli;Ange;07/06/2026;Cormeilles-en-Parisis
9;50 m Haies (65) (i);8''48;Poli;Ange;22/03/2026;Nogent-sur-Oise
10;Hauteur;1m48;Poli;Ange;07/06/2026;Cormeilles-en-Parisis
11;Hauteur (i);1m04;Falletti;Augustin;30/11/2025;Pantin
12;Perche;2m10;Blondel;Edgar;24/05/2026;Franconville
13;Perche (i);1m87;Blondel;Edgar;14/02/2026;Tremblay-en-France
14;Longueur;4m75;Fontaine;Marius;08/05/2026;Cachan
15;Longueur (i);4m42;Fontaine;Marius;18/01/2026;Pantin
16;Triple Saut;-;-;-;-;-
17;Triple Saut (i);-;-;-;-;-
18;Medecine Ball (3 kg);5m80;Blondel;Edgar;18/01/2026;Pantin
19;Poids (3 kg);9m64;Raymond;Isaac;06/04/2025;Cachan
20;Poids (3 kg) (i);9m09;Raymond;Isaac;30/11/2024;Pantin
21;Disque (1 kg);22m81;Poli;Ange;14/05/2026;Joinville-le-Pont
22;Marteau (3 kg);-;-;-;-;-
23;Javelot (500 g);29m06;Poli;Ange;06/06/2026;Ivry-sur-Seine
24;Triathlon (Tables 2028);115 Pts;Poli;Ange;24/05/2026;Franconville
25;Triathlon (Tables 2028) (i);105 Pts;Fontaine;Marius;18/01/2026;Pantin
26;Tétrathlon Disque;I 764 Pts;Poli;Ange;07/06/2026;Cormeilles-en-Parisis
27;Tétrathlon Longueur (i);1 677 Pts;Poli;Ange;21/03/2026;Eaubonne
28;Tétrathlon Perche (i);-;-;-;-;-
29;4 × 60 m;36''81;Vincennes;Athletic;04/06/2025;Vincennes
30;4 × 60 m Mixte;31''34;Vincennes;Athletic;24/05/2026;Franconville
