Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;60 m (i);7''84;Unau;Laurie-Marine;21/01/2023;Eaubonne
2;100 m;12''27;Unau;Laurie-Marine;21/06/2023;Paris
3;200 m;25''29;Unau;Laurie-Marine;25/06/2023;Nogent-sur-Marne
4;200 m (i);25''69;Unau;Laurie-Marine;21/01/2023;Eaubonne
5;400 m;63''13;Zoumale Pande;Éleonore;13/06/2026;Maisons Alfort
6;400 m (i);62''87;Ghienne;Aurélie;03/02/2001;Paris – INSEP
7;800 m;2'25''56;Ghienne;Aurélie;14/06/2003;Créteil
8;800 m (i);2'32''14;Ghienne;Aurélie;19/01/2002;Eaubonne
9;1 000 m;3'26''31;Dupont;Virginie;09/05/2007;Saint-Maur-des-Fossés
10;1 000 m (i);-;-;-;-;-
11;1 500 m;5'17''46;Dupont;Virginie;17/06/2007;Paris
12;2 000 m;7'53''50;Dupont;Virginie;03/05/2006;Saint-Maur-des-Fossés
13;3 000 m;11'14''58;Caron;Louise;29/05/2024;Saint-Maur-des-Fossés
14;5 km;20'12'';Saliou;Meile;22/10/2023;Saint-Omer
15;10 km;41'58'';Caron;Louise;24/03/2024;Savigny-sur-Orge
16;Semi-marathon;1h50'58'';Combe Sperti;Clara;29/03/2026;Arcachon
17;60 m Haies (84) (i);8''61;Macarie;Stella;02/03/2024;Saint-Brieuc
18;100 m Haies (84);13''79;Macarie;Stella;18/07/2025;Saint-Etienne
19;400 m Haies (76);76''27;Zoumale Pande;Éleonore;17/05/2026;Yerres
20;Hauteur;1m68;Okitadjanga;Lena;24/05/2025;Deauville
21;Hauteur (i);1m71;Okitadjanga;Lena;14/02/2026;Nantes
22;Perche;3m45;Wagner;Alice;12/07/2025;Pontoise
23;Perche (i);3m22;Wagner;Alice;14/02/2026;Tremblay-en-France
24;Longueur;5m57;Okitadjanga;Lena;05/07/2025;Paris
25;Longueur (i);5m64;Okitadjanga;Lena;14/02/2026;Nantes
26;Triple Saut;10m15;Unau;Laurie-Marine;20/05/2023;Montereau-Fault-Yonne
27;Poids (4 kg);9m28;Martinaud;Laura;24/06/2026;Villeurbanne
28;Poids (4 kg) (i);8m96;Aloriant;Isabelle;24/01/2015;Paris
29;Marteau (4 kg);13m88;Bart;Amélie;17/05/2026;Yerres
30;Javelot (600 g);27m07;Martinaud;Laura;10/06/2026;Chassieu
31;Héptathlon;3 864 Pts;Ropars;Louise;06/06/2026;Cormeilles-en-Parisis
32;Pentathlon (i);2 846 Pts;Aloriant;Isabelle;24/01/2015;Paris
