Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;60 m (i);8''43;Despres;Lorette;29/01/2023;Paris
2;100 m;13''44;Seguret;Laure;29/05/2016;Ivry-sur-Seine
3;200 m;25''88;Okitadjanga;Lena;14/05/2022;Cormeilles-en-Parisis
4;200 m (i);27''34;Despres;Lorette;03/02/2023;Eaubonne
5;300 m;44''26;Despres;Lorette;16/04/2023;Maisons-Alfort
6;400 m;61''92;Macarie;Valentine;17/05/2026;Yerres
7;400 m (i);60''50;Macarie;Valentine;01/02/2025;Nogent-sur-Oise
8;600 m;1'44''46;Bonnot;Amélie;04/05/2016;Saint-Maur-des-Fossés
9;800 m;2'24''90;Akopov-Dubois;Jeanne;29/05/2026;Paris
10;800 m (i);2'40''48;Okitadjanga;Lena;11/12/2021;Paris
11;1 000 m;3'15''69;Leostic;Katell;14/05/2014;Saint-Maur-des-Fossés
12;1 000 m (i);-;-;-;-;-
13;1 500 m;5'15''29;Alakian;Ines;03/07/2022;Maisons-Alfort
14;3 000 m;11'17''30;Saliou;Meile;11/05/2023;Maisons-Alfort
15;5 km;19'36'';Saliou;Meile;26/02/2023;Charenton-le-Pont
16;10 km;45'00'';Bonnot;Amélie;20/03/2016;Nogent-sur-Marne
17;Semi-Marathon;3h33'17'';Garancher;Salomé;03/03/2024;Paris
18;3 000 m Marche;20'49''09;Epitaux;Mathilde;08/05/2023;Bonneuil-sous-Marne
19;60 m Haies (84) (i);8''82;Macarie;Stella;29/01/2023;Paris
20;100 m Haies (84);14''17;Macarie;Stella;09/07/2023;Franconville
21;400 m Haies (76);61''93;Macarie;Valentine;12/07/2025;Pontoise
22;Hauteur;1m72;Okitadjanga;Lena;16/07/2022;Mulhouse
23;Hauteur (i);1m73;Okitadjanga;Lena;04/12/2022;Ivry-sur-Seine
24;Perche;3m25;Wagner;Alice;14/06/2023;Aulnay-sous-Bois
25;Perche (i);3m07;Wagner;Alice;11/02/2023;Paris
26;Longueur;5m59;Okitadjanga;Lena;15/05/2022;Cormeilles-en-Parisis
27;Longueur (i);5m47;Okitadjanga;Lena;22/01/2022;Eaubonne
28;Triple Saut;9m29;Dizin-Boulange;Maude;17/05/2026;Yerres
29;Poids (4 kg);9m48;Perron;Marie;13/05/2017;Noisy-le-Grand
30;Poids (4 kg) (i);9m77;Okitadjanga;Lena;23/01/2022;Eaubonne
31;Disque (1 kg);23m93;Grimard-Hamel;Roxane;03/05/2025;Aulnay-sous-Bois
32;Marteau (4 kg);19m60;Wagner;Alice;12/05/2024;Conflant-Sainte-Honorine
33;Javelot (600 g);29m97;Perron;Marie;13/05/2017;Noisy-le-Grand
34;Pentathlon (i);3 392 Pts;Okitadjanga;Lena;12/02/2022;Rennes
35;Héptathlon;4 756 Pts;Okitadjanga;Lena;15/05/2022;Cormeilles-en-Parisis
