Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;60 m (i);7''74;Colantonio;Thomas;20/12/2025;Eaubonne
2;100 m;12''78;Perrin;Florian;01/06/2013;Créteil
3;150 m;18''21;Colantonio;Thomas;07/05/2026;Paris
4;200 m;23''45;Colantonio;Thomas;04/07/2026;Paris
5;200 m (i);24''42;Colantonio;Thomas;20/12/2025;Eaubonne
6;300 m;38''15;Colantonio;Thomas;07/05/2026;Paris
7;400 m;51''58;Colantonio;Thomas;04/07/2026;Paris
8;400 m (i);60''74;Goutaudier;Franck;15/01/2006;Paris
9;800 m;2'07''33;Colantonio;Thomas;17/05/2026;Yerres
10;1 000 m;4'11''08;Robert;Philippe;18/05/2011;Saint-Maur-des-Fossés
11;1 000 m (i);4'48''50;Emanuely;Ludovic;01/03/2024;Lyon
12;1 500 m;4'12''70;Rettenbacher;Martin;03/05/2025;Mantes-la-Jolie
13;3 000 m;9'34''38;Chopinet;Clément;03/05/2026;Aulnay-sous-Bois
14;5 000 m;17'13''60;Chopinet;Clément;16/04/2023;Livry-Gargan
15;10 000 m;36'24''25;Chopinet;Clément;10/07/2024;Saint-Maur-des-Fossés
16;5 km;14'41'';Pierron;Alexandre;07/02/2016;Vincennes
17;10 km;32'56'';Pierron;Alexandre;05/09/2015;Lille
18;15 km;52'08'';Pierron;Alexandre;15/02/2015;Charenton
19;20 km;1h08'37'';Pierron;Alexandre;09/10/2016;Paris
20;30 km;2h56'57'';Longuet;Yvan;21/03/2026;Paris
21;60 km;11h57'02'';Kalicinski;Éric;07/07/2012;Saint-Nicolas-de-Véroce
22;70 km;11h20''24;Drouet;Pascal;01/12/2012;Lyon
23;Semi-Marathon;1h14'10'';Pierron;Alexandre;06/03/2016;Paris
24;Marathon;2h41'01'';Roussel;Sébastien;03/12/2023;Valence
25;Ekiden;2h38'49'';-;-;19/11/2023;Marseille
26;5 000 m Marche;30'57''95;Guegan;James;25/04/2026;Villejuif
27;5 000 m Marche (i);32'23''43;Guegan;James;10/01/2026;Eaubonne
28;10 000 m Marche;1h05'12''10;Guegan;James;11/11/2025;Nogent-sur-Marne
29;400 m Haies (84);67''03;Perrin;Florian;24/06/2023;Laval
30;3 000 m Steeple (91);10'52''28;Chopinet;Clément;17/05/2025;Savigny-sur-Orge
31;Hauteur (i);1m16;Emanuely;Ludovic;01/03/2024;Lyon
32;Longueur;5m82;Perrin;Florian;06/06/2014;Vénissieux
33;Longueur (i);5m85;Perrin;Florian;10/02/2017;Val-de-Reuil
34;Triple-saut;10m91;Perrin;Florian;14/05/2022;Maisons-Alfort
35;Poids (5 kg);9m59;Emanuely;Ludovic;14/06/2024;Thonon-les-Bains
36;Poids (5 kg) (i);9m09;Emanuely;Ludovic;01/03/2024;Lyon
37;Poids (7.26 kg);9m00;Maunier;Richard;17/05/2025;Savigny-sur-Orge
38;Disque (1 kg);31m65;Emanuely;Ludovic;14/06/2024;Thonon-les-Bains
39;Disque (2 kg);22m20;Emanuely;Ludovic;12/05/2024;Conflant-Sainte-Honorine
40;Marteau (7.26 kg);26m96;Kerspern;Gaël;17/05/2026;Yerres
41;Javelot (600 g);28m46;Emanuely;Ludovic;14/06/2024;Thonon-les-Bains
42;Javelot (800g);25m38;Fevrier;Franck;28/06/2007;Vichy
43;Pentathlon (i);1 493 Pts;Emanuely;Ludovic;01/03/2024;Lyon
