Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;50 m;6''94;Hardin;Éloïse;20/04/2013;Alfortville
2;50 m (i);7''20;Mendes;Laura;21/01/2006;Paris
3;60 m (i);8''51;Boussès;Maéva;05/12/2010;Eaubonne
4;80 m;10''91;Nabavian;Sofia;23/10/2021;Franconville
5;100 m;13''18;Okitadjanga;Léna;09/06/2018;Cormeilles-en-Parisis
6;120 m;15''95;Launay;Juliette;08/06/2024;Villejuif
7;800 m (i);2'34''61;Boussès;Maéva;05/12/2010;Eaubonne
8;1 000 m;3'16''28;Boussès;Maéva;13/06/2010;Bondy
9;1 000 m (i);3'25''53;Launay;Juliette;24/03/2024;Paris
10;2 000 m;7'18''01;Boussès;Maéva;06/06/2010;Versailles
11;5 km;21'31'';Vinel Jahard;Adèle;10/12/2023;Thiais
12;30 Minutes;-;-;-;-;-
13;2000 m Marche;11'52''80;Boussès;Maéva;14/03/2010;Villejuif
14;2000 m Marche (i);11'56''46;Boussès;Maéva;21/03/2010;Nogent-sur-Oise
15;3000 m Marche;17'53''37;Habchi;Mira;15/05/2022;Sucy-en-Brie
16;20 Minutes Marche;3 132 m;Boussès;Maéva;11/10/2009;Montreuil-sous-Bois
17;50 m Haies (76);8''52;Hardin;Éloïse;05/06/2013;Anthony
18;50 m Haies (76) (i);7''75;Okitadjanga;Léna;27/10/2019;Eaubonne
19;60 m Haies (76) (i);10''28;Sanon;Janice;05/12/2010;Eaubonne
20;80 m Haies (76);11''94;Okitadjanga;Léna;14/07/2019;Tours
21;200 m Haies (76);29''67;Alabert;Clara;14/07/2023;Albi
22;Hauteur;1m65;Okitadjanga;Léna;30/05/2019;L’Haÿ-les-Roses
23;Hauteur (i);1m57;Okitadjanga;Léna;04/03/2018;Eaubonne
24;Perche;2m40;Falletti;Marion;07/06/2026;Villejuif
25;Perche (i);2m20;Falletti;Marion;23/03/2026;Nogent-sur-Oise
26;Longueur;5m30;Elurse;Luna;25/05/2017;L’Haÿ-les-Roses
27;Longueur (i);5m05;Alabert;Clara;12/03/2023;Nogent-sur-Oise
28;Triple Saut;10m90;Boussès;Maéva;27/06/2010;Puteaux
29;Triple Saut (i);10m43;Boussès;Maéva;05/12/2010;Eaubonne
30;Medecine Ball (3 kg);7m40;Tissandier;Marion;10/02/2007;Paris
31;Poids (3 kg);9m75;Pothier;Clara;05/06/2011;Joinville-le-Pont
32;Poids (3kg) (i);9m55;Okitadjanga;Léna;03/03/2019;Eaubonne
33;Disque (800 g);30m60;Habchi;Mira;26/06/2022;Aulnay-Sous-Bois
34;Marteau (3 kg);21m69;Habchi;Mira;25/09/2021;Thiais
35;Javelot (500 g);24m94;Cairo;Miléna;31/05/2009;Créteil
36;Triathlon (Tables 2017);121 Pts;Okitadjanga;Léna;30/05/2019;L’Haÿ-les-Roses
37;Triathlon (Tables 2017) (i);112 Pts;Okitadjanga;Léna;09/02/2019;Paris
38;Triathlon (Tables 2028);82 Pts;Martin de Pena;Mina;11/04/2026;Ivry-sur-Seine
39;Triathlon (Tables 2028) (i);90 Pts;Julhe;Lili;30/11/2024;Pantin
40;Héptathlon;3 881 Pts;Boussès;Maéva;04/07/2010;Saint Florentin
41;Pentathlon (i);2 912 Pts;Okitadjanga;Léna;03/03/2019;Eaubonne
42;4 × 60 m;31''80;Vincennes;Athletic;30/05/2019;L’Haÿ-les-Roses
43;4 × 60 m Mixte;29''79;Vincennes;Athletic;08/06/2024;Villejuif
