Num;Épreuve;Performance;Nom;Prénom;Date;Lieu
1;60 m (i);6''98;Bamba;Oumar;04/01/2025;Aubière
2;100 m;10''65;Nezar;Younes;25/06/2023;Pontoise
3;200 m;21''57;Gabon;Mathéo;22/06/2024;Vitry-sur-Seine
4;200 m (i);21''54;Gabon;Mathéo;04/01/2025;Aubière
5;300 m;35''02;Gadani;Matteo;17/04/2026;Torcy
6;400 m;49''00;Gadani;Matteo;13/06/2026;Maisons Alfort
7;400 m (i);51''38;Gabon;Mathéo;18/01/2025;Val-de-Reuil
8;600 m;1'33''05;Raynal;Laurent;03/05/2006;Saint-Maur-des-Fossés
9;800 m;1'53''51;Kerrout;Mounir;24/06/2001;Nogent-sur-Marne
10;800 m (i);2'01''76;Coppin;Reginald;20/01/2007;Eaubonne
11;1 000 m;2'39''80;Andrieu;Jérome;10/05/2009;Ivry-sur-Seine
12;1 000 m (i);2'52''36;Thebert;Baptiste;19/01/2019;Eaubonne
13;1 500 m;3'51''80;Kerrout;Mounir;22/07/2001;Paris - Charléty
14;1 500 m (i);3'57''09;Kerrout;Mounir;20/01/2008;Eaubonne
15;2 000 m;5'28''15;Kerrout;Mounir;05/05/2004;Saint-Maur-des-Fossés
16;3 000 m;8'16''28;Kerrout;Mounir;15/05/2002;Saint-Maur-des-Fossés
17;3 000 m (i);8'18''36;Kerrout;Mounir;26/01/2008;Mondeville
18;5 000 m;14'07''84;Kerrout;Mounir;29/05/2002;Saint-Maur-des-Fossés
19;10 000 m;31'25''67;Bauchet;Jean-Baptiste;14/07/2005;Olomouc
20;5 km;15'35'';Zeboudj;Samy;02/02/2015;Vincennes
21;10 km;29'43'';Kerrout;Mounir;28/04/2002;Vitry-sur-Seine
22;15 km;49'21'';Kerrout;Mounir;11/02/2007;Charenton-le-Pont
23;20 km;1h06'42'';Kerrout;Mounir;14/10/2007;Paris
24;25 km;2h54'51'';Guibert;Damien;28/09/2014;Raismes
25;30 km;2h50'31'';Remesy;Romain;28/04/2013;Cheptainville
26;Semi-Marathon;1h06'58'';Kerrout;Mounir;07/03/2004;Rambouillet
27;Marathon;2h29'36'';Louise;Hugues;06/04/2003;Paris
28;1 Heure;15 km 810 m;Toure;Ladji;08/05/2012;Bagnolet
29;Ekiden;2h26'42'';-;-;31/03/2013;Créteil
30;5 000 m Marche;35'03''30;Farly;Rody;03/05/2026;Aulnay-sous-Bois
31;60 m Haies (1.06) (i);8''76;Bontaz;Roland;16/01/1997;INSEP
32;110 m Haies (1.06);16''56;Messal;Amine;29/05/2026;Paris
33;400 m Haies (91);53''40;Gadani;Mattéo;17/05/2026;Yerres
34;3 000 m Steeple (91);9'39''74;Robin;Maël;17/05/2025;Savigny-sur-Orge
35;Hauteur;1m77;Thebert;Baptiste;01/06/2019;Cormeilles-en-Parisis
36;Hauteur (i);1m80;Gadani;Mattéo;13/01/2024;Val-de-Reuil
37;Perche;3m72;Messal;Amine;14/05/2025;Paris
38;Perche (i);3m87;Messal;Amine;14/02/2026;Tremblay-en-France
39;Longueur;6m31;Strambio;Jean-Christophe;20/06/2013;Nogent sur Marne
40;Longueur (i);6m62;Gadani;Mattéo;13/01/2024;Val-de-Reuil
41;Triple Saut;12m40;Gadani;Mattéo;03/05/2025;Mantes-la-Jolie
42;Poids (7.260 kg);14m44;Delpech;Olivier;08/03/2015;Nogent-sur-Oise
43;Poids (7.260 kg) (i);14m65;Delpech;Olivier;07/03/2015;Nogent-sur-Oise
44;Disque (2 kg);31m16;Thebert;Baptiste;01/06/2019;Cormeilles-en-Parisis
45;Marteau (7.260 kg);15m22;Brosset;Romuald;26/06/2008;Quimper
46;Javelot (800 g);51m37;Delpech;Olivier;02/02/2014;Nanterre
47;Héptathlon (i);4 366 Pts;Gadani;Mattéo;13/01/2024;Val-de-Reuil
48;Décathlon;5 757 Pts;Thebert;Baptiste;01/06/2019;Cormeilles-en-Parisis
49;4 × 100 m;43''34;-;-;17/05/2025;Savigny-sur-Orge
50;4 × 400 m;3'25''90;-;-;12/05/2024;Conflant-Sainte-Honorine
51;Medley long;13'44''67;-;-;15/06/2022;Saint-Maur-des-Fossés
